Nom,Ãge,NA,Cor,Cen,Drb,Apl,Agr,Fin,Ctn,Ctr,DÃ©t,Ins,Col,DÃ©c,Ãqu,CF,Acc,Pui,Pla,Phy,Vol,Vit,Agi,DÃ©t.1,Sgf,End,Crg,Ldr,Vis,Ant,TÃªt,Tir,T Lg,Mar,Pas,Pen,Tcl,Tec,NA_end
Pablo Insua,29,124,7,7,9,8,12,8,12,12,14,9,16,13,9,7,13,12,14,13,12,11,10,15,14,12,14,10,10,14,13,7,8,14,13,7,14,13,123
Cote,33,123,12,15,14,13,7,8,9,14,12,13,15,12,12,14,12,13,12,11,15,13,14,9,8,13,14,7,12,12,7,14,13,10,13,8,13,14,112
AdriÃ¡n De la Fuente,24,123,7,9,9,7,12,8,14,12,12,9,14,13,12,13,12,13,13,14,13,12,11,12,12,14,14,12,11,13,14,9,9,13,12,9,14,12,124
Pedro Bigas,33,133,6,7,9,11,12,9,14,10,14,10,14,13,12,8,12,14,14,14,15,13,12,12,13,14,14,14,10,13,14,8,4,14,10,9,14,11,127
RÃ³ber Pier,28,122,6,7,9,8,11,7,13,13,12,9,15,13,13,7,12,13,13,14,13,12,12,12,14,14,12,10,12,14,13,7,9,12,13,8,13,13,120
Javi SÃ¡nchez,26,132,6,2,3,8,8,6,14,7,15,3,13,13,13,9,11,15,14,16,14,13,11,15,13,14,12,11,8,11,16,5,11,13,7,3,14,8,132
JosÃ© MarsÃ,21,120,7,11,11,9,14,7,11,14,14,12,14,12,13,7,13,12,12,15,12,13,13,13,14,13,13,9,13,13,12,9,11,11,13,7,12,14,127
GermÃ¡n,36,120,6,4,5,8,13,7,15,8,14,7,15,13,11,6,7,13,16,11,14,9,10,14,15,13,14,13,8,13,15,7,12,15,10,7,13,8,112
Ãscar Gil,25,129,7,10,9,11,6,9,12,11,15,15,16,12,10,7,15,14,12,14,18,15,14,10,9,16,15,10,7,10,9,8,11,14,12,8,13,10,133
Gonzalo VerdÃº,34,129,4,6,6,13,6,7,14,9,12,12,13,14,13,15,10,16,15,13,14,11,11,13,11,14,15,14,8,13,15,6,6,15,11,6,15,6,124
Toni Datkovic,29,118,8,11,9,8,14,9,12,11,13,10,9,11,11,6,12,14,14,12,13,11,12,13,10,14,13,14,10,13,14,8,10,12,7,6,13,10,118
Jorge SÃ¡enz,26,118,5,6,9,8,12,9,12,11,13,7,13,12,11,8,12,14,12,12,13,13,11,14,12,13,12,10,9,13,14,8,9,13,11,7,12,12,118
Anaitz Arbilla,36,128,10,11,12,12,12,9,14,10,10,9,15,12,10,14,12,10,13,13,14,12,12,9,9,14,14,7,9,11,10,15,12,11,10,9,13,10,112
Anderson Arroyo,23,117,9,12,11,11,12,7,11,10,12,5,12,12,13,8,13,12,13,12,13,13,13,10,10,14,11,7,11,12,7,8,12,12,12,8,12,12,120
Ãlex MuÃ±oz,28,127,10,14,11,13,12,11,12,12,13,12,13,13,10,12,13,12,13,14,13,14,12,13,13,14,12,11,13,13,12,17,11,12,13,12,13,13,127
Lucas,28,126,8,14,13,13,12,11,12,12,15,9,13,12,13,8,14,12,12,12,14,13,13,9,11,13,12,11,10,12,12,10,11,13,12,8,12,12,125
Jorge MiramÃ³n,34,126,9,13,13,13,13,7,13,13,12,13,15,14,12,11,13,10,13,13,14,13,13,8,12,14,14,10,13,13,9,9,5,12,12,7,12,12,119
Ãlvaro Tejero,26,126,10,14,11,11,10,5,12,12,11,11,13,11,11,11,13,9,14,14,13,13,12,8,11,13,12,10,13,13,11,14,13,13,13,9,13,11,125
Brian OlivÃ¡n,29,126,12,13,11,14,9,7,13,13,12,13,13,12,12,13,13,10,12,13,13,13,13,8,13,13,14,11,11,12,6,11,12,8,13,12,12,13,126
NicolÃ¡s FernÃ¡ndez Mercau,23,126,13,13,14,14,13,11,8,13,14,12,13,12,11,12,14,9,9,16,14,13,13,7,12,16,15,7,13,12,6,12,13,11,13,9,8,14,126
Rodri TarÃ­n,27,125,7,10,7,12,10,7,12,13,13,9,14,12,12,9,12,14,14,11,13,12,10,12,12,12,12,10,13,14,13,9,11,15,14,9,14,12,125
Jair,33,125,6,7,6,7,13,5,14,9,14,7,16,14,7,7,9,15,14,6,15,12,8,16,14,13,15,10,8,14,16,9,11,14,10,3,14,11,117
Alex PaÅcanu,24,125,7,10,11,9,12,9,12,11,13,4,11,11,12,7,12,14,13,13,14,13,12,13,11,14,13,10,8,12,13,8,9,13,11,7,13,9,125
JosÃ© FontÃ¡n,23,125,8,11,13,12,15,10,11,10,13,12,13,12,12,8,13,11,13,14,15,13,14,12,12,13,11,9,12,14,11,8,11,14,14,4,14,12,127
Guille Rosas,23,125,7,10,10,11,16,9,12,14,14,9,13,11,13,7,13,13,11,15,14,12,13,8,12,18,16,11,11,10,8,7,12,12,11,9,14,14,126
David Costas,28,125,8,9,11,12,15,5,13,12,12,9,12,12,10,9,14,12,14,13,13,12,12,11,13,13,12,11,12,13,13,10,10,14,14,7,14,12,126
Luis PÃ©rez,28,125,7,11,11,14,13,7,13,12,14,11,14,12,12,5,14,11,13,13,15,14,13,9,12,15,15,10,10,13,6,7,13,14,10,8,13,12,125
Ramon,22,115,8,12,13,12,13,8,9,12,11,12,12,11,12,4,14,11,11,12,13,14,14,8,11,13,13,5,12,12,9,9,12,10,13,5,12,12,118
Nacho,34,122,8,14,11,14,12,9,13,11,13,11,14,13,13,8,14,10,11,14,13,13,14,8,12,13,13,13,12,14,7,13,14,11,12,6,12,13,112
Sergio Postigo,34,124,5,6,6,7,14,5,15,11,15,6,15,14,10,5,10,14,14,14,15,12,9,13,14,12,15,16,9,13,14,8,17,14,11,6,14,10,118
Aitor CÃ³rdoba,28,124,7,8,7,7,14,7,13,12,12,5,14,12,10,7,13,14,14,15,12,13,12,10,12,14,13,14,12,13,14,8,7,14,12,7,14,12,123
Enric Franquesa,26,124,9,13,12,10,12,9,12,11,12,8,14,12,13,11,14,12,12,13,14,14,13,8,11,14,11,8,12,12,9,9,13,12,11,8,12,13,123
Alejandro FrancÃ©s,20,124,5,10,8,9,11,6,13,11,15,9,13,12,12,6,13,12,13,13,14,13,12,12,13,13,12,12,12,14,12,8,10,14,11,4,14,11,131
RubÃ©n SÃ¡nchez,22,124,11,13,9,14,8,7,13,8,8,11,12,12,12,11,14,11,12,7,12,13,15,9,12,12,12,11,12,13,8,7,12,12,11,5,14,12,127
Unai Elgezabal,30,123,7,8,7,9,13,11,13,12,12,12,13,13,9,7,13,13,13,12,14,13,12,12,13,12,13,11,12,13,13,8,11,12,12,12,13,13,122
Diego GonzÃ¡lez,28,123,3,14,11,7,14,4,11,12,13,10,13,10,7,5,13,13,13,13,14,13,13,13,13,14,14,14,6,11,14,5,4,15,13,7,14,12,123
Diego GonzÃ¡lez,28,123,3,14,11,7,14,4,11,12,13,10,13,10,7,5,13,13,13,13,14,13,13,13,13,14,14,14,6,11,14,5,4,15,13,7,14,12,105
Diego GonzÃ¡lez,24,105,7,10,7,9,13,3,10,11,9,5,10,14,10,5,15,9,12,11,10,12,15,8,10,15,10,9,9,9,14,7,9,15,11,7,15,7,123
Diego GonzÃ¡lez,24,105,7,10,7,9,13,3,10,11,9,5,10,14,10,5,15,9,12,11,10,12,15,8,10,15,10,9,9,9,14,7,9,15,11,7,15,7,105
Ãlvaro RodrÃ­guez,28,123,9,14,11,10,10,7,12,12,13,12,13,12,10,8,13,12,13,10,13,13,12,10,12,16,11,8,12,12,10,9,13,11,13,7,12,13,123
JosÃ© LeÃ³n,28,123,6,7,9,7,14,7,14,10,14,7,14,13,12,6,11,14,14,12,13,12,10,14,14,14,15,13,9,12,13,8,8,14,11,10,13,11,121
Josema SÃ¡nchez,27,122,6,10,7,6,12,6,10,12,14,9,12,12,13,6,13,15,12,13,12,14,13,13,11,14,13,8,11,13,13,7,7,15,12,8,15,11,122
Frederico VenÃ¢ncio,30,122,4,4,6,6,17,6,13,8,15,6,14,12,13,6,11,14,14,12,12,12,12,13,12,12,13,15,8,13,13,8,8,14,12,10,13,12,120
Jairo,29,121,8,11,13,13,11,8,10,12,11,12,14,11,10,7,16,7,10,11,15,14,14,4,10,13,11,11,13,12,6,7,6,10,11,7,10,13,120
Cristian Glauder,27,121,5,13,9,8,10,5,14,14,12,5,12,12,11,6,12,14,12,10,12,12,11,13,13,12,12,12,13,13,13,6,8,12,13,7,13,12,121
RubÃ©n Alves,28,121,6,7,5,8,11,5,13,10,12,8,13,12,13,9,13,13,13,14,12,14,13,13,13,14,12,12,9,13,12,6,10,14,11,6,14,10,123
LluÃ­s,26,120,5,8,9,8,13,7,14,11,14,8,13,12,11,5,12,14,12,11,15,13,12,12,13,14,14,13,11,13,12,7,10,13,12,10,14,12,120
Derick Poloni,29,110,11,13,13,12,10,8,7,12,15,13,10,9,8,12,15,8,8,14,11,14,13,9,9,13,8,8,12,12,5,8,10,7,11,6,11,14,110
Ãlex Carbonell,25,120,8,8,11,11,12,9,13,14,14,11,15,12,12,9,13,11,12,16,11,13,12,11,13,14,12,12,13,14,11,10,7,11,13,9,12,13,120
Abel Bretones,22,120,9,12,13,10,5,11,13,11,13,8,12,12,12,12,13,13,12,10,12,13,11,10,9,13,5,8,9,12,13,11,10,12,15,7,13,11,120
Carlos Nieto,27,120,8,13,10,14,14,6,12,11,12,10,15,12,13,9,13,14,10,14,16,14,13,12,10,15,14,8,10,11,9,9,12,12,11,7,13,12,120
Cristian GutiÃ©rrez,22,119,7,14,14,12,12,11,12,12,13,12,10,12,10,12,13,9,9,13,12,12,13,9,11,10,11,8,12,11,9,12,11,10,13,10,10,12,121
Julio Alonso,24,119,10,10,11,11,13,9,11,12,13,5,11,12,13,7,14,11,13,15,13,12,14,10,12,14,9,11,11,12,10,6,6,12,12,7,12,12,119
Chema,31,119,6,8,8,6,14,9,12,11,14,9,15,13,9,7,10,13,13,13,14,11,11,15,12,13,14,14,9,14,14,7,7,14,11,7,14,11,117
JosÃ© Matos,28,118,8,14,12,9,14,7,11,8,12,9,13,10,10,10,13,14,11,16,14,14,13,7,11,14,8,10,9,13,9,10,9,11,11,7,13,13,118
Diegui,29,108,6,10,12,13,11,9,10,10,12,13,15,11,12,4,14,12,11,12,14,14,13,10,10,13,9,5,9,13,8,6,7,11,12,5,13,11,108
Ãlex PetxarromÃ¡n,26,108,11,12,10,8,12,8,11,12,12,5,14,10,11,11,12,11,12,11,14,13,12,9,9,12,12,12,9,11,9,7,12,12,14,7,13,12,108
Xavi QuintillÃ,26,118,11,13,10,13,15,6,13,13,13,8,15,12,9,12,14,9,11,13,15,14,12,10,11,13,13,10,12,14,11,11,12,10,14,4,12,14,118
SaÃºl,28,117,13,14,14,13,11,5,13,13,13,12,13,11,12,10,13,12,11,13,13,13,12,11,11,14,12,9,12,12,8,7,7,11,11,5,12,13,117
Grego Sierra,30,117,7,8,8,9,10,7,13,11,12,5,14,12,9,7,12,13,13,13,15,12,12,12,12,13,13,9,12,13,13,8,11,13,10,7,13,12,116
Fernando Medrano,23,118,10,14,12,14,14,8,12,12,13,10,13,13,13,8,14,8,13,13,14,13,14,9,12,13,13,10,13,12,7,8,12,11,12,8,13,13,121
Diego PampÃ­n,23,116,10,12,12,13,11,7,11,12,5,10,11,15,15,6,14,6,12,11,14,14,14,5,11,12,12,3,8,12,11,10,10,8,12,1,13,11,117
Juan Antonio Ros,27,116,9,9,10,7,12,8,13,14,3,9,13,13,9,9,13,12,14,11,13,13,11,13,12,14,11,9,9,14,10,10,7,10,12,9,13,12,115
Carlos Isaac,25,116,9,10,10,10,14,8,12,10,14,8,13,12,12,12,12,13,12,10,12,13,12,11,12,14,14,14,8,12,8,8,9,12,11,4,14,12,116
JuliÃ¡n DelmÃ¡s,28,116,6,13,13,12,12,6,11,11,16,7,14,12,11,7,13,8,12,14,15,13,14,9,11,15,14,11,9,12,12,8,10,12,10,10,12,13,116
Diego Alende,25,115,3,5,9,13,13,5,12,12,13,8,14,12,11,5,12,14,13,13,13,11,11,9,12,13,13,8,12,14,13,6,6,13,13,7,14,12,115
Quentin Lecoeuche,29,115,8,12,11,13,10,7,12,11,13,8,12,10,12,12,15,11,10,15,14,13,13,7,12,14,14,8,10,11,5,9,9,10,12,11,12,12,115
IvÃ¡n Calero,28,115,8,12,12,12,7,8,12,12,13,11,12,10,12,9,13,8,12,13,15,13,12,8,10,13,9,11,12,12,9,8,3,12,12,8,12,12,113
Tachi,25,115,7,8,7,7,15,5,12,11,12,7,13,12,11,7,12,12,13,11,12,13,12,12,10,13,14,11,9,13,12,11,10,13,11,5,13,10,115
Dani FernÃ¡ndez,26,115,10,13,9,8,11,7,11,10,13,3,12,12,12,4,14,12,11,12,13,13,13,11,9,14,12,11,10,12,11,6,12,12,10,10,13,12,115
Dani FernÃ¡ndez,26,115,10,13,9,8,11,7,11,10,13,3,12,12,12,4,14,12,11,12,13,13,13,11,9,14,12,11,10,12,11,6,12,12,10,10,13,12,68
Dani FernÃ¡ndez,17,68,1,3,1,6,6,5,6,7,1,5,6,14,7,1,12,5,12,12,7,10,12,14,7,4,8,7,4,7,12,5,1,14,7,1,8,6,115
Dani FernÃ¡ndez,17,68,1,3,1,6,6,5,6,7,1,5,6,14,7,1,12,5,12,12,7,10,12,14,7,4,8,7,4,7,12,5,1,14,7,1,8,6,68
Pedro AlcalÃ¡,34,120,12,7,8,6,12,7,13,8,15,13,13,13,7,14,11,14,14,12,12,11,10,14,13,13,12,12,9,13,15,12,8,12,10,5,13,12,110
VÃ­ctor GarcÃ­a,26,115,11,13,12,13,12,8,11,9,13,7,12,11,13,7,14,13,9,13,13,13,14,8,10,13,13,9,10,12,7,8,12,9,11,8,10,13,116
Dani Tasende,23,113,6,12,10,10,13,5,11,12,7,6,14,14,15,3,13,6,12,8,14,12,11,10,9,12,12,10,9,12,11,6,10,10,12,3,14,12,116
Arnau SolÃ,20,113,8,12,10,12,13,9,10,13,14,8,14,11,13,8,12,12,13,15,13,13,14,11,10,12,12,11,11,13,11,9,10,10,14,8,12,13,113
Pol Moreno,29,113,9,8,8,7,14,6,14,11,14,5,12,12,13,8,10,13,14,18,11,9,12,14,10,13,8,12,10,13,14,9,5,14,9,5,13,11,112
RaÃºl Navarro,29,112,9,12,10,7,5,7,12,11,10,8,14,11,15,7,12,10,12,10,11,12,12,6,12,12,13,8,11,12,10,8,13,12,12,7,12,12,112
Roberto Correa,30,120,8,11,9,11,13,5,11,11,10,9,13,12,13,7,13,13,13,13,13,14,12,9,11,15,14,10,9,12,11,6,14,12,11,11,14,10,117
Ãlex MartÃ­nez,32,112,10,12,11,13,10,7,12,12,13,11,11,11,13,13,13,9,11,11,15,13,13,7,11,13,15,7,9,13,7,11,10,12,12,10,13,13,99
Ãlvaro Mantilla,23,112,5,9,6,8,16,6,11,8,16,6,15,10,10,5,16,12,11,16,15,16,11,11,12,13,16,14,8,11,12,8,12,14,10,7,14,8,112
Pablo RamÃ³n,22,111,9,12,10,10,8,9,11,13,8,14,11,12,11,8,13,13,13,12,12,12,10,10,10,11,10,10,13,12,11,12,7,13,12,5,12,13,113
Miguel Ãngel Leal,26,112,5,11,9,9,6,1,11,12,11,11,11,13,9,3,15,12,11,13,14,12,15,7,8,15,12,13,8,12,11,8,10,12,9,8,15,8,111
Aitor BuÃ±uel,25,111,8,12,10,12,9,7,11,10,12,11,11,12,12,8,14,10,11,14,12,13,13,9,12,14,9,8,10,12,8,8,11,11,9,7,11,10,111
Diego Moreno,22,111,9,13,12,14,9,7,11,10,11,9,14,9,11,4,14,11,13,13,13,14,14,6,8,14,13,8,6,13,9,8,13,11,11,10,13,11,111
Abraham Del Moral,22,111,9,8,6,11,5,5,13,11,14,5,11,13,12,7,8,7,15,7,12,10,12,12,9,13,12,3,9,8,13,9,10,13,9,7,16,16,112
Dani Calvo,29,120,7,6,5,12,10,4,12,10,13,4,13,12,12,8,12,14,14,12,14,12,11,15,12,14,11,10,9,11,14,9,8,13,11,2,14,10,120
Carlos HernÃ¡ndez,32,110,7,9,8,9,9,5,11,11,8,9,14,10,11,10,11,12,13,12,15,12,12,12,11,14,11,10,11,12,14,9,11,12,12,7,12,11,100
Ãlvaro NÃºÃ±ez,23,110,6,11,9,12,14,7,9,12,15,11,14,11,11,6,14,11,11,15,13,14,13,6,9,13,14,9,11,12,8,8,11,12,11,8,13,12,114
JosÃ© Salinas,22,110,11,13,12,12,12,11,11,12,13,8,11,11,11,11,13,11,11,9,15,13,13,9,10,13,12,10,12,9,9,9,11,10,12,8,10,12,110
Carlos Pomares,30,110,11,12,11,13,14,8,13,11,13,7,13,11,13,9,11,12,12,11,13,12,11,13,13,12,13,9,12,11,8,11,7,11,11,6,11,12,109
Diyaeddine Abzi,24,100,10,11,13,10,7,9,12,10,11,11,11,10,13,10,12,14,12,12,12,12,12,10,11,12,8,7,11,11,10,4,9,11,10,7,11,10,100
Kiko Olivas,34,120,4,6,6,6,13,4,15,9,5,4,15,13,9,7,10,15,14,14,14,11,9,13,13,13,15,10,6,14,15,9,8,15,9,6,14,6,110
Enrique Clemente,24,110,7,10,11,8,12,6,14,13,11,12,12,12,11,7,11,11,13,11,12,12,12,12,16,12,11,9,13,13,11,8,10,12,14,9,13,14,110
Pablo ÃÃ±iguez,29,110,7,10,11,10,8,7,8,15,14,5,10,12,11,9,10,7,15,14,13,10,11,11,14,11,12,12,10,13,13,10,7,11,16,7,16,14,109
HÃ©ber,33,110,13,12,11,12,9,10,8,11,13,12,13,11,11,13,13,9,9,14,12,12,12,8,9,13,11,11,9,11,8,11,10,9,11,9,10,12,99
MiguelÃ³n,27,110,6,12,10,12,10,8,12,11,8,6,12,11,12,8,13,11,12,8,14,14,14,6,10,13,12,4,10,12,9,9,11,12,9,6,11,12,109
Ãlex MartÃ­n,25,110,7,9,8,9,15,9,12,10,13,5,13,11,9,7,13,13,13,13,13,13,12,11,11,12,13,8,10,13,13,7,9,12,11,8,13,12,110
Aritz Arambarri,25,110,5,4,3,10,12,3,14,9,12,7,10,11,11,2,15,15,11,12,11,14,13,13,11,8,11,14,8,15,15,6,5,11,11,3,12,6,110
Juan Berrocal,24,110,7,7,7,7,10,8,11,10,12,7,15,10,8,11,12,16,12,13,12,13,11,14,9,15,12,7,9,11,11,9,8,12,11,7,12,10,110
Manu Hernando,24,109,5,7,8,8,7,9,10,8,15,4,12,11,12,5,13,15,12,14,14,11,10,12,12,12,14,16,7,12,15,7,12,14,9,5,11,9,112
Toni Abad,26,109,5,9,9,9,15,5,13,12,16,12,9,12,11,2,15,7,12,12,11,15,15,6,5,15,10,14,10,13,10,9,6,11,11,9,15,8,110
Dani Lasure,29,109,7,12,10,12,11,6,10,12,11,9,15,12,11,7,15,8,11,13,13,12,12,9,11,14,12,12,10,12,8,11,10,11,11,7,12,11,109
Brais MartÃ­nez,21,109,8,11,7,9,14,8,12,10,9,5,8,13,10,6,14,9,11,6,10,15,15,9,10,10,11,7,9,12,8,7,9,10,8,7,15,9,113
Sergio GonzÃ¡lez,31,109,7,8,9,7,15,7,12,13,12,5,12,11,7,6,13,15,12,9,13,14,13,14,12,11,14,8,11,11,12,7,9,12,13,6,13,12,108
JosÃ© Amo,25,119,6,6,7,7,17,4,14,10,14,7,14,12,12,6,11,14,12,14,15,12,11,14,12,14,16,11,9,14,13,7,7,14,11,4,14,10,119
Mario,24,108,9,10,8,6,14,5,11,11,3,5,10,11,10,6,15,8,13,12,10,15,15,5,10,15,11,10,7,11,10,9,8,13,11,5,14,11,107
AdriÃ Vilanova,26,108,5,6,7,6,13,6,11,11,13,7,12,12,11,5,13,12,13,13,12,14,12,14,11,10,13,11,10,11,12,7,6,12,11,6,13,11,108
Ãlex Barbu,22,108,7,8,8,10,8,10,11,10,13,5,14,11,7,7,12,14,12,10,13,12,12,14,11,13,13,8,9,11,13,7,9,12,11,7,13,10,112
David Morillas,36,108,12,11,9,11,11,9,14,14,10,5,12,12,9,14,12,13,14,14,12,11,11,12,13,13,13,11,7,12,7,10,10,10,9,5,13,10,97
Fran GÃ¡mez,31,120,7,12,10,11,11,8,13,10,14,8,14,12,12,7,14,9,13,15,14,14,15,7,11,15,13,13,9,12,6,8,11,13,9,4,14,11,110
David Torres,20,108,3,5,2,8,15,6,10,7,5,5,8,14,9,3,13,10,14,11,9,13,11,13,9,11,10,10,6,13,14,5,5,14,9,1,12,2,114
Oier Luengo,25,108,5,7,7,11,10,7,12,11,6,6,12,11,12,5,12,12,13,12,11,12,12,13,10,14,12,6,11,11,10,9,5,12,12,7,12,10,108
Sergio Barcia,22,107,5,2,4,8,15,8,10,9,12,5,8,14,9,1,14,7,14,8,9,14,14,12,9,8,10,6,5,10,14,8,5,13,6,2,11,4,108
Diego SÃ¡nchez,19,107,9,12,9,10,12,8,11,12,15,7,15,11,12,8,13,13,12,11,13,12,11,9,10,14,9,7,9,11,10,8,11,12,11,7,12,12,108
LoÃ¯c Williams,21,106,5,6,8,6,14,7,12,9,14,7,13,10,11,6,12,15,12,14,14,13,12,13,12,14,15,10,8,12,13,6,6,13,9,10,12,9,118
MoisÃ©s Delgado,29,105,5,9,8,8,12,5,13,9,4,7,13,12,12,4,12,11,14,10,13,12,13,9,13,13,13,8,8,13,9,7,10,11,9,8,13,7,102
MartÃ­ VilÃ,24,105,6,11,9,9,9,8,9,11,12,9,10,15,10,1,8,6,11,14,14,13,12,9,10,15,11,13,8,14,8,6,8,13,13,6,12,11,105
Lucas Rosa,23,110,7,12,12,13,12,7,10,10,14,8,12,9,12,7,13,12,9,13,13,14,12,10,9,13,12,8,9,10,8,7,11,12,12,7,12,13,111
Jonathan GÃ³mez,19,95,10,12,8,11,7,10,9,10,11,7,13,11,11,8,13,9,10,12,14,12,14,8,10,11,11,14,12,9,6,8,7,8,12,5,10,10,95
Javi Castro,22,105,6,13,10,10,14,3,11,12,13,5,5,13,11,3,12,11,16,16,10,14,14,9,11,14,11,3,9,11,12,4,9,10,12,5,15,11,110
PiÃ±a,28,105,5,4,8,8,14,6,12,10,12,8,13,10,11,6,13,14,10,12,12,14,9,14,12,12,14,13,7,13,13,8,8,13,11,10,13,10,104
Garri,18,105,9,14,9,12,12,10,6,11,14,11,15,13,16,4,13,6,12,14,14,15,14,8,6,9,11,4,11,12,11,6,10,11,14,8,16,12,108
Diogo Verdasca,26,105,6,7,7,8,15,5,9,12,16,7,13,12,12,6,12,13,13,14,11,11,10,14,12,13,15,12,9,12,13,6,7,11,13,5,12,14,104
Borja GonzÃ¡lez,27,104,8,11,9,11,13,9,9,11,11,5,15,9,12,8,12,10,11,6,16,13,12,8,9,15,13,8,10,10,7,9,11,12,12,7,11,11,102
Jon GarcÃ­a,32,104,5,7,8,6,14,6,12,9,4,5,13,13,10,5,11,11,12,12,13,11,10,10,11,9,13,12,10,13,13,8,6,13,9,2,14,9,99
Sergio Cubero,23,104,9,13,10,8,9,8,10,12,14,7,9,12,9,6,14,7,9,14,7,14,14,10,10,12,9,14,10,8,7,3,8,9,7,7,10,13,104
Ãscar Rivas,23,104,4,4,3,8,10,8,8,9,9,8,8,15,10,1,12,8,11,17,10,11,13,12,9,13,10,14,7,11,14,2,4,15,9,6,15,9,106
Iago LÃ³pez,24,104,11,13,11,13,10,9,11,11,11,10,12,11,12,8,12,10,11,12,12,12,12,11,9,12,11,9,12,12,7,9,12,11,13,9,10,13,106
FÃ¨lix Garreta,19,101,5,8,10,7,8,6,12,11,12,5,12,11,11,5,13,9,13,15,12,12,13,11,8,13,9,11,8,14,12,6,10,11,11,7,12,11,104
Juan MarÃ­a Alcedo,22,110,7,13,11,13,14,9,13,9,4,9,11,12,12,5,14,11,12,12,12,13,13,8,12,13,11,3,12,12,8,9,12,12,9,9,13,12,110
Luca Ferrone,30,99,10,13,10,6,5,4,10,10,2,5,9,11,9,6,14,9,10,13,10,14,14,10,10,13,9,10,7,13,8,6,8,8,9,5,11,10,99
Jorge Mier,24,99,6,11,6,9,7,7,13,11,16,6,14,12,15,4,15,7,8,15,14,13,13,6,10,15,11,11,9,9,7,4,9,11,5,3,14,8,98
Lanchi,22,98,8,12,2,7,15,8,9,13,18,6,9,14,9,5,14,7,12,10,9,14,14,7,8,14,10,8,8,11,8,3,7,10,6,4,13,9,104
Marc-Olivier DouÃ©,22,96,6,8,8,8,10,9,8,10,9,8,14,10,9,6,12,10,13,10,13,11,10,9,12,11,10,10,12,13,14,6,8,12,10,10,13,10,96
David Castro,27,96,6,10,6,7,8,6,8,7,15,5,9,13,9,7,14,7,13,15,9,14,13,14,8,8,10,11,8,12,10,5,8,11,7,2,10,5,95
Hugo PÃ©rez,20,96,6,4,4,7,12,7,10,9,4,5,8,14,9,8,14,6,14,15,10,9,13,11,9,11,10,12,7,9,14,5,2,10,8,4,13,7,100
Josep GayÃ,23,95,6,5,4,8,10,3,9,8,5,5,8,14,9,2,12,10,14,15,9,8,9,9,8,8,10,7,3,8,14,5,4,14,8,6,14,7,99
Mario GarcÃ­a,19,96,10,13,8,10,12,6,12,11,6,9,12,12,9,10,12,10,10,13,11,12,11,8,14,11,12,10,9,11,9,12,13,10,11,8,10,11,99
SaÃºl Del Cerro,19,90,4,8,9,9,13,8,6,12,12,5,9,14,9,8,13,7,14,12,10,13,9,8,10,7,9,7,9,11,10,8,1,13,8,6,14,9,94
Marc BombardÃ³,17,85,5,8,9,8,14,7,9,10,14,9,12,10,11,6,12,10,11,14,10,12,11,10,9,10,12,8,10,10,10,7,8,12,11,7,11,10,96
Marco Esteban,17,80,5,9,7,8,13,3,8,11,12,7,9,11,10,6,7,6,11,6,11,11,11,12,14,9,10,12,12,11,11,4,6,10,13,7,10,12,85
Iker Garel,16,65,4,1,1,3,15,1,6,5,2,5,5,13,6,2,11,5,11,14,6,9,13,13,3,3,8,3,5,7,13,1,1,10,1,2,12,4,65
Diego Miranda,17,65,4,2,4,3,13,1,7,6,5,5,5,13,6,1,9,7,12,12,6,7,8,14,3,4,8,1,5,7,7,2,1,13,4,1,11,1,65
Pablo RodrÃ­guez,16,65,5,5,1,2,15,2,7,5,9,5,6,14,7,5,11,6,10,15,7,13,14,11,5,7,8,3,6,4,10,2,1,14,5,1,12,5,65
Lucas Beceiro,16,65,6,10,6,3,9,4,12,6,4,5,8,14,8,1,15,2,10,14,8,15,15,6,7,5,8,1,7,7,6,4,7,6,4,2,10,8,65
Felipe,16,65,2,1,1,2,6,1,4,5,9,5,6,14,7,1,13,5,13,12,7,12,8,14,7,4,8,4,3,11,11,6,3,8,5,1,14,1,65
MartÃ­n HernÃ¡ez,16,65,6,11,1,6,5,3,6,9,14,5,6,12,7,2,14,5,8,11,7,14,12,11,6,8,8,3,7,5,7,1,6,5,2,3,11,6,65
Gael GarcÃ­a,17,65,2,1,1,1,9,1,6,6,13,5,5,13,6,1,10,6,13,12,6,8,10,9,3,3,8,3,4,12,9,3,1,13,1,3,13,5,65
Hugo Barrachina,16,73,2,3,6,6,13,4,10,7,16,8,12,9,9,4,7,12,11,14,10,12,8,15,10,10,12,12,7,9,10,4,7,12,8,5,10,8,83
Jaime VÃ¡zquez,17,71,5,1,4,2,13,1,4,2,15,5,5,11,6,11,8,10,12,13,6,9,12,11,6,5,8,14,10,12,12,1,5,12,11,5,12,1,84
Diego Alcides,17,71,4,6,5,6,9,1,11,8,17,5,6,13,7,6,12,7,11,10,8,7,8,13,7,7,9,7,4,5,13,4,2,11,7,3,12,6,84
Yago RodrÃ­guez,18,70,6,12,7,6,14,3,13,12,12,5,8,14,8,2,13,5,8,11,8,11,11,6,8,12,9,2,8,7,8,2,7,10,8,4,10,8,77
Borja Cortina,17,70,4,1,3,4,9,3,6,5,6,6,4,13,7,3,10,5,13,12,7,13,13,8,5,10,9,2,6,7,10,6,2,10,7,1,13,1,94
